#,day,date ,Customer ,products,invoice #,payment cash,payment chq,payment card,TAX Collected,Balance ,Total ,Notes,cost ,profit,reconfirm ,,expenses,,,,,,,
1,Friday,03/01/24,Uday # 21,Monitoring,11680411,,,375.00,30.94,,405.94,,,,,,,,,,,,,
2,Friday,03/01/24,Uday # 28,Monitoring,11680410,,,375.00,30.94,,405.94,,,,,,,,,,,,,
3,Friday,03/01/24,Uday # 12,Monitoring,11680409,,,375.00,30.94,,405.94,,,,,,,,,,,,,
4,Friday,03/01/24,Breaktime / 3161 West loop,"Yamaha Speaker
",11680280,,413.00,,34.07,,447.07,,,,,,,,,,,,,
5,Saturday,03/02/24,76 Food Mart,Subscription,11680414,,,300.00,,,300.00,,,,,,,,,,,,,
6,Saturday,03/02/24,Lockwood Travel Center/ Lockwood,Beyond Lotto TV full,11680412,,1200.00,,99.00,,1299.00,,,,,,,,,,,,,
7,Saturday,03/02/24,"Breaktime / 13401 East Freeway
","Installation
  BNC Couplers / Jointers
",11680146,,254.50,,21.00,,275.50,,,,,,,,,,,,,
8,Sunday,03/03/24,America's Best Value Inn,BF NVR 8016  6TB  Installation,11680471,,,1071.00,88.36,,1159.36,,,,,,,,,,,,,
9,Monday,03/04/24,Panco Food Mart 2/Lone Star State Groc & Gas LLC,BEYOND - Android Box,11680415,,,350.00,28.88,,378.88,,,,,,,,,,,,,
10,Tuesday,03/05/24,The Right Choice,LED Msg Sign,11680418,,,379.00,31.27,,410.27,,,,,,,,,,,,,
11,Tuesday,03/05/24,Super K,BF116786739,11680417,200.00,,,16.50,,216.50,,,,,,,,,,,,,
12,Wednesday,03/06/24,Breaktime / 990 Lockwood Dr,Installation,11680466,,300.00,,24.75,,324.75,,,,,,,,,,,,,
13,Wednesday,03/06/24,Breaktime / 2501 S Br,Service Trip,11680465,,75.00,,6.19,,81.19,,,,,,,,,,,,,
14,Wednesday,03/06/24,Sonny Food Mart," Bluefield Door Bell
",11680419,,,,22.69,$297.69 ,297.69,,,,,,,,,,,,,
15,Thursday,03/07/24,Breaktime / 1622 Georgetown Road,"BF8032  6TB   6TB   RG59+power
DC Male Pin

  BF116160516  RG59+power
RG59+power
DC Male Pin
  BNC Connectors
  HDMI Cable
UPS",11680421,,1898.50,,145.83,,2044.33,,,,,,,,,,,,,
16,Thursday,03/07/24,Breaktime / 65 Miracle Strip Parkway Southeast,"BF8032  6TB   4TB hard disk
  BF116160516  RG59+power
RG59+power
DC Male Pin
  BNC Connectors
  HDMI Cable
UPS",11680420,,1923.25,,145.11,,2068.36,,,,,,,,,,,,,
17,Saturday,03/09/24,Truck Stop # 4/ RKS Petroleum LLC,Truck Stop # 4/ RKS Petroleum LLC,11680425,,,1500.00,123.75,,1623.75,,,,,,,,,,,,,
18,Saturday,03/09/24,Kwik Stop 3/ ASDA Enterprises Inc,BEYOND - Android Box,11680423,,,350.00,28.88,,378.88,,,,,,,,,,,,,
19,Monday,03/11/24,Breaktime / 1901 East Freeway,Installation,11680467,,134.50,11.10,,,11.10,,,,,,,,,,,,,
20,Monday,03/11/24,"Breaktime / 251 W Parker Rd
","Installation Installation Home Depot invoice
",11680436,,973.51,80.31,,,80.31,,,,,,,,,,,,,
21,Monday,03/11/24,Pitstop Express # 29/ S P Bros LLC,Beyond Lotto TV full,11680433,,1099.00,90.67,,,90.67,101 discount,,,,,,,,,,,,
22,Monday,03/11/24,McCarty Truck Park/ Jeffys Inc,Beyond Lotto TV full,11680427,,,1099.00,90.67,,1189.67,,,,,,,,,,,,,
23,Monday,03/11/24,Pick N Pay#4/N & T Management LLC,BEYOND - Android Box,11680426,,,,28.88,"$378.88
",378.88,,,,,,,,,,,,,
24,Tuesday,03/12/24,Fuel Depot # 24 / Wayforest Retail LLC,"BFHDC500D - HD TVI
   Installation Installation  RG59+power
",11680503,,,838.25,69.15,,907.40,,,,,,,,,,,,,
25,Tuesday,03/12/24,"Spin Mart
",Speaker,11680439,,,80.00,6.60,,86.60,,,,,,,,,,,,,
26,Tuesday,03/12/24,"Buddy Mini Mart
","300W Parking Pole Light
",11680438,,,200.00,16.50,,216.50,,,,,,,,,,,,,
27,Wednesday,03/13/24,Bernard Grocery,"8 FEET-60W-5000K-STRIPY..  4 feet integrated
",11680444,90.00,,,7.43,,97.43,,,,,,,,,,,,,
28,Wednesday,03/13/24,La Latinos Food Mart,bf739,11680443,,,,16.50,216.50,216.50,,,,,,,,,,,,,
29,Wednesday,03/13/24,UDAY # 11 / 619 North Home Street," BFHD800D  BFHD800B   BFIP400    RG59+power
  BF116160516   BF8016XVR   12 TB
  Installation  Installation Installation Installation  Beyond Lotto TV XL
BF1167861566 Beyond Menu
 Bluefield Door Bell
Beyond Menu
 BF IP 400
 POE Switch
 HDMI Cable
HDMI Splitter
 Ceiling Bracket
",11680441,,,16647.25,1373.42,,18020.67,,,,,,,,,,,,,
30,Wednesday,03/13/24,Ceiling Bracket,8 FEET-60W-5000K-STRIPY..,11680440,,,100.00,8.25,,108.25,,,,,,,,,,,,,
31,Thursday,03/14/24,B & B Convenient/Pan Am Properties LLC,Beyond Subscription,11680448,,,300.00,24.75,,324.75,,,,,,,,,,,,,
32,Thursday,03/14/24,Quick Food Mart,Canopy LED,11680446,,1080.00,,89.10,,1169.10,,,,,,,,,,,,,
33,Thursday,03/14/24,Petromax 11,EBT,11680445,,65.00,,5.36,,70.36,,,,,,,,,,,,,
34,Friday,03/15/24,Parallel Smoke & Vape,"Vape & Hookah  E Cigs
   KRATOM",11680450,,,285.00,23.52,,308.52,,,,,,,,,,,,,
35,Friday,03/15/24,Spin N Market 7/J D Grewal Inc,Beyond Menu,11680449,,,225.00,18.56,,243.56,,,,,,,,,,,,,
36,Saturday,03/16/24,"Handikwik / 805 North Wells Street
","300W Parking Pole Light
   Installation  Installation",11680454,,1450.00,,119.62,,1569.62,,,,,,,,,,,,,
37,Saturday,03/16/24,Usman,Beyond Menu,11680452,,,225.00,18.56,,243.56,,,,,,,,,,,,,
38,Saturday,03/16/24,Conner’s Corner /102 East Houston Highway,"300W Parking Pole Light  Installation Installation  Installation Home Depot invoice
 Wall Pack 120W
  6 feet cooler
  2X4 LED Panel Light
Home Depot invoice
",11680453,,7161.00,,590.79,,7751.79,,,,,,,,,,,,,
39,Monday,03/18/24,Texana Food Mart,"BFHDC200D BFHDC200B  BFHDC200B  4TB hard disk
",11680456,,,1975.00,162.94,,2137.94,,,,,,,,,,,,,
40,Monday,03/18/24,Super Kwik,8 FEET-60W-5000K-STRIPY..,11680455,,,40.00,3.30,,43.30,,,,,,,,,,,,,
41,Tuesday,03/19/24,"Breaktime / 15845 John F. Kennedy Blvd
","Installation  BEYOND - Android Box
",11680458,,375.00,,30.94,,405.94,,,,,,,,,,,,,
42,Wednesday,03/20/24,Breaktime / 13401 East Freeway,"Yamaha Speaker  Yamaha Speaker
  Installation
",11680468,,495.00,,40.84,,535.84,,,,,,,,,,,,,
43,Wednesday,03/20/24,T & J & S Inc,300W Parking Pole Light,11680461,,,185.00,15.26,,200.26,,,,,,,,,,,,,
44,Wednesday,03/20/24,Bodega Market/Labodega 2 LLC,"BEYOND - Android Box
",11680457,,,500.00,41.25,,541.25,,,,,,,,,,,,,
45,Wednesday,03/20/24,"Howard Food Mart/Texas Blue Star Enterprises Inc
","Beyond Subscription
",11680339,,,300.00,0.00,,300.00,,,,,,,,,,,,,
46,Thursday,03/21/24,Breaktime / 101 Main Street Arkansas,"RG59+power  BF116160516  BNC Connectors
DC Male Pin
Open",11680464,,,315.00,25.99,,340.99,,,,,,,,,,,,,
47,Friday,03/22/24,Breaktime / 15845 John F. Kennedy Blvd,"Service Trip Service Trip
","11680474
",,225.00,,18.57,,243.57,,,,,,,,,,,,,
48,Friday,03/22/24,Everyday #2,150W UFO Light,11680470,,,400.00,33.00,,433.00,,,,,,,,,,,,,
49,Friday,03/22/24,Dee Onsestop,"5 feet cooler 4 feet integrated
",11680460,69.00,,,5.70,,74.70,,,,,,,,,,,,,
50,Friday,03/22/24,Texas Wodie/ Zion City LLC,BEYOND - Android Box,11680459,,,350.00,28.88,,378.88,,,,,,,,,,,,,
51,Saturday,03/23/24,Wallisville Express,8 FEET-60W-5000K-STRIPY..,"11680473
",,,500.00,41.25,,541.25,,,,,,,,,,,,,
52,Saturday,03/23/24,Latino Washeteria,8 FEET-60W-5000K-STRIPY..,11680472,,,500.00,41.25,,541.25,,,,,,,,,,,,,
53,Sunday,03/24/24,Crosby Food Mart,"installation  installation 8 FEET-60W-5000K-STRIPY..
",11680521,,,1100.00,90.75,,1190.75,,,,,,,,,,,,,
54,Monday,03/25/24,Suzani,BF727,11680479,,,135.00,11.14,,146.14,,,,,,,,,,,,,
55,Monday,03/25/24,Rocky Store/ Hill Traders LLC,"Rocky Store/ Hill Traders LLC
",11680478,,,350.00,28.88,,378.88,,,,,,,,,,,,,
56,Monday,03/25/24,Seabrook Market / Bayport food mart LLC,Beyond Subscription,11680477,,300.00,,0.00,,300.00,,,,,,,,,,,,,
57,Monday,03/25/24,Commons Market / Heritage Business LLC,Beyond Subscription,11680476,,300.00,,0.00,,300.00,,,,,,,,,,,,,
58,Monday,03/25/24,Speedster 100/ 22 GSJ Express Inc,BEYOND - Android Box,11680475,,,700.00,57.75,,757.75,,,,,,,,,,,,,
59,Tuesday,03/26/24,Birite Supermarket,"8 FEET-60W-5000K-STRIPY..
",11680484,,,50.00,4.13,,54.13,50 discount,,,,,,,,,,,,
60,Tuesday,03/26/24,Panthers 27/ Panthers Petroleum II LLC,"Beyond Lotto TV XL
","11680483
",,,1500.00,123.75,,1623.75,,,,,,,,,,,,,
61,Tuesday,03/26/24,M N M,8 FEET-60W-5000K-STRIPY..,11680482,,,200.00,16.50,,216.50,,,,,,,,,,,,,
62,Tuesday,03/26/24,Copper Field Food Mart,8 FEET-60W-5000K-STRIPY..,11680481,,,100.00,8.25,,108.25,,,,,,,,,,,,,
63,Tuesday,03/26/24,Speedy Express 40,8 FEET-60W-5000K-STRIPY..,11680480,,,200.00,16.50,,216.50,,,,,,,,,,,,,
64,Thursday,03/28/24,"Cheapes Meat Market
",300W Parking Pole Light,11680469,,,380.00,31.35,,411.35,,,,,,,,,,,,,
65,Friday,03/29/24,"Pecan Grove Shell Center
","2x2 LED Panel light
",11680486,45.00,,,3.71,,48.71,,,,,,,,,,,,,
66,Friday,03/29/24,"Oyo Hotel
","300W Parking Pole Light
",11680485,,,540.00,44.55,,584.55,,,,,,,,,,,,,
67,Saturday,03/30/24,"30Munch n Go / Eashwar LLC
","Service Trip
",11680572,,,125.00,10.31,,135.31,135.31,,,,,,,,,,,,
68,Saturday,03/30/24,"Buzzin Market #3
","Service Trip
","11680542
",,,150.00,12.38,,162.38,,,,,,,,,,,,,
69,Saturday,03/30/24,McCarty Truck Park/ Jeffys Inc,OPEN XL,11680487,,,195.00,16.09,,211.09,,,,,,,,,,,,,
70,Saturday,03/30/24,Ruby Food Mart/ Kazmik Enterprises Inc,"BEYOND - Android Box
",11680416,,,350.00,28.88,,378.88,,,,,,,,,,,,,
,,,,,,404.00,17854.76,36396.58,4410.85,514.19,,,,,,,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,
